N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
75,녹십자,"366,000","13,500",+3.83%,"5,000","42,773","11,687",18.96,"177,796",52.78,7.48,
76,현대차2우B,"112,000","1,000",-0.88%,"5,000","40,864","36,485",61.75,"104,733",21.78,N/A,
77,한미약품,"337,000","8,000",+2.43%,"2,500","40,704","12,078",13.07,"63,326",340.40,1.65,
78,삼성증권,"44,950",550,+1.24%,"5,000","40,140","89,300",28.03,"484,223",7.91,9.89,
79,롯데지주,"37,700",250,+0.67%,200,"39,551","104,909",10.80,"348,298",-20.12,-3.03,
80,대우조선해양,"36,850",450,+1.24%,"5,000","39,537","107,291",8.29,"416,027",45.66,2.27,
81,CJ대한통운,"169,000","1,000",-0.59%,"5,000","38,553","22,812",22.17,"23,489",31.34,3.89,
82,삼성카드,"33,100",500,-1.49%,"5,000","38,349","115,859",11.26,"210,402",9.62,5.69,
83,쌍용C&E,"7,600",10,-0.13%,100,"38,293","503,860",3.52,"762,380",27.74,7.92,
84,호텔신라,"95,400","2,800",+3.02%,"5,000","37,443","39,248",21.15,"996,666",-13.47,-36.74,
85,삼성중공업,"5,930",90,+1.54%,"5,000","37,359","630,000",14.89,"5,328,856",-2.52,-33.06,
86,삼성엔지니어링,"18,850",150,-0.79%,"5,000","36,946","196,000",27.97,"2,418,458",15.09,16.75,
87,NH투자증권,"13,100",200,-1.50%,"5,000","36,865","281,409",16.99,"920,695",6.82,10.32,
88,GS건설,"42,800",650,-1.50%,"5,000","36,590","85,491",29.02,"646,447",11.00,7.68,
89,팬오션,"6,800",70,-1.02%,"1,000","36,351","534,570",10.16,"9,005,890",28.94,3.25,
90,현대미포조선,"90,900","2,000",+2.25%,"5,000","36,307","39,942",11.55,"416,674",-186.27,-0.84,
91,DB손해보험,"50,700","1,000",-1.93%,500,"35,896","70,800",43.30,"177,184",6.42,9.08,
92,신풍제약,"67,300","1,700",+2.59%,500,"35,659","52,985",9.75,"1,292,684",739.56,1.72,
93,휠라홀딩스,"55,600","1,900",+3.54%,"1,000","33,778","60,752",43.63,"942,754",24.32,10.94,
94,한화생명,"3,865",85,-2.15%,"5,000","33,569","868,530",7.80,"12,406,340",14.26,1.90,
95,롯데쇼핑,"116,000","1,500",+1.31%,"5,000","32,815","28,289",11.61,"127,730",-4.18,-7.70,
96,키움증권,"124,500","2,000",-1.58%,"5,000","32,484","26,091",22.72,"141,821",4.50,27.63,
97,CJ,"108,500","1,000",+0.93%,"5,000","31,657","29,177",18.15,"166,039",44.65,1.89,
98,효성티앤씨,"729,000",0,0.00%,"5,000","31,549","4,328",20.56,"54,260",23.06,25.10,
99,신세계,"319,000","11,000",+3.57%,"5,000","31,406","9,845",29.49,"138,854",-30.35,-2.81,
100,LG화학우,"402,500","4,500",-1.11%,"5,000","30,947","7,689",65.76,"9,472",61.46,N/A,
