idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
2014,48910,대원미디어 *,"34,800/ +300","12,578,946/ 0","15,905",950,"1,207","1,634","1,915","2,662","2,691","2,753", ,24,70,64,37,72,127,176, ,5,78,42,32,65,106,143, ,978,"1,043","1,256","1,361","1,447","1,545","1,696", ,234,234,240,349,355,398,446, ,743,810,"1,015","1,012","1,092","1,147","1,250", ,581,637,805,785,842,880,984, ,63,63,63,63,63,63,63, ,0.5,7.72,3.61,2.43,4.63,7.09,8.82, ,-1.92,10.25,2.89,1.38,5.03,8.48,11.16, ,-86,496,165,87,326,580,827, ,N/A,16.68,60.38,77.18,28.55,59.97,42.09, ,2.13,1.59,1.53,1.03,1.33,4.77,4.29, ,"12,579","12,579","12,579","12,579","12,579", , , 
2015,51980,중앙디앤엠 *,"1,385/ -60","69,884,557/ 0","5,412,599",179,72,112,98,108, , , ,-22,-6,-23,-85,-80, , , ,-37,3,-27,-80,-121, , , ,194,242,222,350,556, , , ,71,112,81,105,307, , , ,123,130,141,245,249, , , ,117,130,141,245,249, , , ,100,105,126,234,302, , , ,-15.35,1.51,-11.77,-27.8,-26.72, , , ,-32.8,2.66,-20.19,-41.23,-49.01, , , ,-182,17,-111,-202,-203, , , ,N/A,48.76,N/A,N/A,N/A, , , ,3.61,1.18,1.84,1.01,6.36, , , ,"19,594","20,487","24,706","46,305","59,885", , , 
2016,51500,CJ프레시웨이 *,"35,350/ -450","11,871,586/ 0","3,000","23,279","25,044","28,281","30,551","24,785","23,696","25,401","27,070",210,439,507,581,-35,422,589,669,-58,12,167,96,-425,94,255,326,"8,505","9,026","9,173","11,817","11,228","11,171","11,557","12,164","6,085","6,672","6,645","8,925","8,365","8,261","8,369","8,623","2,420","2,355","2,529","2,891","2,862","2,910","3,188","3,541","1,902","1,802","1,958","2,014","1,880","1,900","2,184","2,541",119,119,119,119,119,120,120,120,-0.73,0.14,1.84,0.91,-3.69,0.84,2.24,2.75,-2.36,-0.83,7.29,2.59,-20.16,3.99,13.57,15.1,-393,-129,"1,154",434,"-3,307",636,"2,335","3,004",N/A,N/A,22.96,66.06,N/A,55.58,15.14,11.77,2.43,2.62,1.61,1.69,1.2,2.21,1.92,1.65,"11,872","11,872","11,872","11,872","11,872", , , 
2017,49120,파인디앤씨 *,"2,540/ +5","26,359,944/ 0",0,"1,777","1,594",773,731,582, , , ,12,-59,20,19,-77, , , ,-51,-199,16,-37,-114, , , ,"1,273","1,076",945,"1,036",864, , , ,723,661,515,583,522, , , ,550,414,430,453,342, , , ,550,414,430,453,342, , , ,94,111,124,132,132, , , ,-4.42,-16.92,1.62,-3.76,-11.99, , , ,-8.98,-41.23,3.88,-8.43,-28.65, , , ,-272,-895,66,-141,-432, , , ,N/A,N/A,31.82,N/A,N/A, , , ,3.12,1.78,1.19,1.21,1.3, , , ,"18,752","22,207","24,736","26,360","26,360", , , 
2018,43360,디지아이 *,"4,380/ -85","9,000,000/ 0","1,962",190,248,211,154,155, , , ,-17,5,-15,-33,4, , , ,-22,5,-6,-34,7, , , ,526,526,514,488,513, , , ,40,39,40,32,50, , , ,486,487,474,456,463, , , ,486,487,474,456,463, , , ,45,45,45,45,45, , , ,-4.1,1.03,-1.14,-6.72,1.37, , , ,-4.47,1.11,-1.23,-7.24,1.49, , , ,-248,60,-66,-374,76, , , ,N/A,53.49,N/A,N/A,32.64, , , ,0.89,0.59,0.48,0.54,0.48, , , ,"9,000","9,000","9,000","9,000","9,000", , , 
2019,52330,코텍 *,"10,500/ -200","15,574,552/ 0","805,125","2,980","3,275","3,466","2,853","1,865", , , ,293,334,424,331,-10, , , ,377,217,350,308,-85, , , ,"2,758","3,019","3,253","3,531","3,236", , , ,328,405,355,352,238, , , ,"2,430","2,614","2,898","3,179","2,999", , , ,"2,430","2,614","2,898","3,179","2,999", , , ,78,78,78,78,78, , , ,14.77,7.52,11.18,9.07,-2.52, , , ,16.56,8.61,12.72,10.12,-2.76, , , ,"2,424","1,394","2,250","1,975",-547, , , ,5.76,11.73,6.18,6.51,N/A, , , ,0.86,0.94,0.73,0.61,0.45, , , ,"15,575","15,575","15,575","15,575","15,575", , , 
2020,52600,한네트 *,"8,990/ -60","11,563,700/ 0",0,288,276,272,259,244, , , ,37,25,20,19,14, , , ,24,14,11,11,12, , , ,697,774,672,638,544, , , ,327,404,314,287,192, , , ,370,370,358,351,352, , , ,370,370,358,351,352, , , ,58,58,58,58,58, , , ,3.39,1.9,1.52,1.73,2.11, , , ,6.54,3.76,3.02,3.19,3.54, , , ,206,121,95,98,108, , , ,23.51,28.7,26.9,31.6,60.64, , , ,1.51,1.08,0.83,1.02,2.15, , , ,"11,564","11,564","11,564","11,564","11,564", , , 
2021,52020,에스티큐브 *,"9,370/ -90","30,575,903/ 1,325,380",0,153,85,105,174,101, , , ,3,-141,-104,-31,-127, , , ,-63,-165,-107,-120,-160, , , ,408,265,586,524,505, , , ,115,73,199,236,144, , , ,292,191,387,288,360, , , ,292,191,387,288,360, , , ,128,133,139,140,159, , , ,-19.54,-48.95,-25.17,-21.71,-31.02, , , ,-24.99,-68.05,-37.03,-35.69,-49.2, , , ,-246,-618,-391,-430,-527, , , ,N/A,N/A,N/A,N/A,N/A, , , ,4.37,7.96,16.44,11.06,8.94, , , ,"25,682","26,608","26,711","27,151","30,385", , , 
2022,43220,에이치엘비파워 *,"2,300/ +0","91,115,377/ 0",0,329,374,395,427,331, , , ,-80,-102,-125,34,25, , , ,-101,-133,-215,9,7, , , ,837,671,557,634,626, , , ,623,395,385,288,217, , , ,213,276,172,347,408, , , ,213,276,172,347,408, , , ,189,260,299,408,456, , , ,-18.87,-17.62,-35.08,1.55,1.08, , , ,-69.98,-53.64,-96.08,3.56,1.8, , , ,-314,-257,-361,11,7, , , ,N/A,N/A,N/A,149.15,174.55, , , ,2.83,2.23,2.62,3.98,2.9, , , ,"37,780","52,092","59,721","81,589","91,115", , , 
2023,33790,스카이문스테크놀로지 *,829/ +0,"17,117,100/ 0","300,000",131,135,144,57,251, , , ,-22,-43,-54,-105,-15, , , ,-21,-48,-78,-123,-8, , , ,285,627,545,269,258, , , ,61,231,228,69,65, , , ,223,395,316,200,193, , , ,223,394,319,200,193, , , ,57,86,86,86,86, , , ,-7.09,-10.44,-13.33,-30.27,-3.15, , , ,-8.92,-15.21,-20.71,-47.47,-4.23, , , ,-182,-324,-431,-720,-49, , , ,N/A,N/A,N/A,N/A,N/A, , , ,2.13,1.87,1.26,0.63,0.72, , , ,"11,411","17,117","17,117","17,117","17,117", , , 
