,idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
33,33,083470,이엠앤아이 *,"1,390/ +0","27,424,515/ 0","2,000,000","1,244",968,185,74,102, , , ,-20,-25,-7,-32,-25, , , ,-31,-337,-488,272,-36, , , ,"1,035",698,323,99,177, , , ,568,550,638,54,122, , , ,467,148,-315,45,55, , , ,467,148,-315,45,55, , , ,105,106,124,87,112, , , ,-3.19,-38.95,-95.53,129.02,-26.36, , , ,-6.71,-109.80,완전잠식,완전잠식,-72.69, , , ,"-6,307","-67,250","-91,857","10,838",-179, , , ,N/A,N/A,N/A,0.13,N/A, , , ,0.13,0.16,N/A,5.33,5.68, , , ,496,503,584,"17,425","22,425", , , 
34,34,100090,삼강엠앤티 *,"17,150/ -250","36,574,368/ 0",0,"1,731","1,231","1,440","3,845","4,272","5,061","6,520","7,280",105,-210,-353,-206,290,390,535,628,32,963,-602,-371,122,285,376,431,"2,383","5,305","5,381","6,279","6,600","6,783","7,068","7,576","1,653","2,811","3,124","4,322","4,263","4,177","4,108","4,211",730,"2,494","2,257","1,958","2,337","2,606","2,960","3,365",730,"1,615","1,492","1,345","1,686","1,955","2,309","2,715",84,84,132,139,175,175,175,175,1.26,25.04,-11.26,-6.37,1.90,4.26,5.43,5.89,4.88,82.89,-29.18,-15.40,5.54,14.77,16.60,16.16,204,"5,478","-1,969",-784,240,735,968,"1,110",24.92,0.92,N/A,N/A,89.56,23.32,17.72,15.45,1.24,0.55,0.81,0.93,4.46,3.21,2.72,2.31,"17,740","17,740","26,425","27,863","35,093", , , 
35,35,101390,아이엠 *,"1,465/ -85","67,189,883/ 0",0,"1,924","2,494","1,911","2,022","1,463", , , ,-109,12,-35,-74,-71, , , ,-158,-37,-186,-202,-125, , , ,"1,477","1,362","1,221","1,174",791, , , ,961,887,750,847,575, , , ,515,474,471,327,216, , , ,513,473,469,325,214, , , ,113,113,188,211,211, , , ,-10.27,-2.59,-14.44,-16.89,-12.73, , , ,-29.44,-7.48,-39.59,-50.93,-46.43, , , ,-744,-152,-605,-501,-296, , , ,N/A,N/A,N/A,N/A,N/A, , , ,1.40,1.24,0.90,1.30,1.41, , , ,"24,300","24,300","37,572","42,223","42,223", , , 
36,36,076080,웰크론한텍 *,"4,095/ -65","20,816,746/ 0","39,840","1,323","2,519","2,643","2,708","2,011", , , ,-13,24,34,-58,37, , , ,-7,-50,2,-207,5, , , ,"1,878","2,117","2,254","1,539","1,445", , , ,940,"1,167","1,253",896,807, , , ,938,950,"1,002",643,638, , , ,615,667,661,651,646, , , ,90,97,97,100,100, , , ,-0.40,-2.50,0.11,-10.91,0.35, , , ,-0.06,-1.53,-1.59,-2.99,0.92, , , ,-2,-54,-55,-98,30, , , ,N/A,N/A,N/A,N/A,123.06, , , ,0.76,0.92,0.54,0.59,1.12, , , ,"18,021","19,363","19,363","19,980","19,980", , , 
37,37,101670,코리아에스이 *,"2,095/ +10","18,900,000/ 0","1,750,000",147,156,143,133,130, , , ,9,-8,-29,-26,-35, , , ,9,37,-27,-21,-82, , , ,323,415,390,355,298, , , ,24,35,41,30,54, , , ,298,380,349,326,244, , , ,298,331,311,302,258, , , ,38,38,38,38,38, , , ,2.78,9.95,-6.74,-5.75,-24.97, , , ,3.02,12.23,-5.38,-2.17,-15.76, , , ,48,203,-91,-35,-234, , , ,46.87,8.04,N/A,N/A,N/A, , , ,1.31,0.86,0.96,0.95,0.80, , , ,"18,900","18,900","18,900","18,900","18,900", , , 
38,38,094840,슈프리마에이치큐 *,"9,090/ -270","10,471,840/ 0",0,305,275,321,262,263, , , ,35,26,73,20,43, , , ,39,47,73,82,69, , , ,"1,252","1,293","1,436","1,744","1,816", , , ,69,66,88,107,111, , , ,"1,183","1,227","1,348","1,637","1,705", , , ,"1,169","1,212","1,301","1,459","1,521", , , ,52,52,52,52,52, , , ,3.64,3.66,5.38,5.18,3.85, , , ,3.84,3.95,5.57,5.79,4.49, , , ,413,449,668,763,638, , , ,20.47,12.63,9.43,7.63,11.81, , , ,0.71,0.46,0.48,0.39,0.49, , , ,"10,472","10,472","10,472","10,472","10,472", , , 
39,39,063170,서울옥션 *,"20,000/ -400","16,917,500/ 0","4,451",509,542,620,451,289,771,935,"1,115",96,64,88,-46,-4,152,183,220,66,31,71,-87,-27,124,141,171,"1,316","1,543","2,053","1,728","1,480","1,928","2,073","2,250",590,821,"1,272","1,042",828,"1,159","1,169","1,181",726,723,781,686,652,769,904,"1,069",715,704,759,686,652,769,904,"1,069",85,85,85,85,85,85,85,85,5.15,2.14,3.94,-4.62,-1.69,7.28,7.05,7.91,8.85,4.39,10.00,-9.25,-4.06,17.45,16.86,17.33,363,184,432,-395,-161,733,833,"1,011",26.84,48.14,20.36,N/A,N/A,27.29,24.00,19.79,2.19,1.97,1.83,1.31,1.78,4.10,3.52,3.01,"16,918","16,918","16,918","16,918","16,918", , , 
40,40,047560,이스트소프트 *,"17,100/ -100","11,163,782/ 0","14,704",505,585,647,689,836,994,"1,125","1,265",-26,-9,20,-28,59,97,137,184,-23,-29,20,-161,71, , , ,822,769,931,"1,346","1,500", , , ,502,518,663,801,816, , , ,320,251,268,545,684, , , ,303,231,240,379,402, , , ,49,49,49,49,49, , , ,-3.04,-3.69,2.34,-14.14,5.02, , , ,-9.36,-12.67,6.96,-36.66,15.70,15.67, , ,-278,-342,166,"-1,146",619,564,833,"1,156",N/A,N/A,37.85,N/A,14.47,30.30,20.53,14.80,2.87,2.72,2.29,1.67,1.84, , , ,"9,899","9,899","9,899","9,899","9,899", , , 
41,41,096240,청담러닝 *,"33,050/ -850","7,473,826/ 0","477,891","1,386","1,474","1,527","1,750","1,800","2,152","2,499","2,596",17,140,158,226,169,384,486,505,-199,68,102,112,86,278,360,370,"1,490","1,456","1,663","1,934","2,096","2,300","2,568","2,650",728,619,771,"1,059","1,063","1,075","1,086","1,106",762,837,892,875,"1,033","1,225","1,482","1,544",569,598,662,658,804,988,"1,274", ,34,35,38,38,38,38,38,38,-14.52,4.63,6.52,6.23,4.29,12.65,14.79,14.18,-40.00,6.57,11.47,12.06,9.22,24.55,26.08,22.61,"-3,243",550,967,"1,037",882,"2,944","3,947","3,853",N/A,29.27,19.09,18.08,22.78,11.23,8.37,8.58,1.79,1.56,1.79,1.83,1.87,2.50,1.94, ,"6,897","7,039","7,675","7,675","7,474", , , 
42,42,101160,월덱스 *,"26,750/ -250","16,510,993/ 0",0,695,888,"1,055","1,174","1,557","1,949","2,284","2,845",37,114,220,234,358,460,550,695,5,69,175,194,218,372,424, ,"1,148","1,098","1,318","1,497","1,703", , , ,685,566,608,602,615, , , ,464,532,710,895,"1,088", , , ,464,533,711,897,"1,090", , , ,79,83,83,83,83, , , ,0.43,6.15,14.51,13.80,13.62,21.82, , ,1.23,13.94,28.23,24.22,21.96,35.14, , ,34,421,"1,064","1,180","1,321","2,320","2,859","3,507",84.91,15.11,4.61,7.02,13.32,11.53,9.36,7.63,0.97,1.97,1.14,1.52,2.67, , , ,"15,842","16,511","16,511","16,511","16,511", , , 
